frame_id,stem,product,object_id,area,aspect_ratio,number_of_grapes,ths1,ths2,ths3,ths4,rg1,rg2,rg3,rg4,ratio_upper_lower,ratio_left_right,mean_grape_area,mean_grape_ratio,percentage_bunch_area,compactness
914,8,35,825,26825,1.276,10,0,0,10,50,0,0,0,40,0.43,0.67,227.2,1.0,0.12,0.08
914,8,35,832,15280,2.388,11,0,9,63,27,0,0,0,0,0.83,1.75,453.73,0.95,0.15,0.08
914,8,35,829,11616,1.5,35,0,11,37,22,0,0,0,28,1.33,1.33,289.14,1.03,0.17,0.05
914,8,35,844,9638,2.59,18,5,33,55,0,0,5,0,0,1.0,1.0,413.67,0.99,0.17,0.07
914,8,35,837,32805,1.8,18,5,66,5,16,0,5,0,0,1.0,0.8,441.67,1.13,0.19,0.07
914,8,35,835,15080,1.394,21,4,4,23,0,0,0,0,66,2.0,0.91,268.95,1.01,0.11,0.05
914,8,35,848,16983,1.378,21,9,0,52,4,0,0,0,33,0.62,1.1,460.62,1.04,0.17,0.06
914,8,35,842,15652,1.89,40,7,27,50,7,0,2,0,5,1.11,0.9,444.45,1.07,0.22,0.05
914,8,35,843,19188,1.402,28,3,21,32,32,0,0,0,10,1.15,0.65,196.86,1.11,0.17,0.05
914,8,35,847,17985,1.514,33,3,12,15,66,0,0,0,3,0.94,1.06,256.58,1.08,0.18,0.05
914,8,35,850,18975,1.435,28,0,3,3,92,0,0,0,0,0.75,1.55,332.96,1.06,0.2,0.06
914,8,35,852,20295,1.341,41,0,0,36,41,0,0,2,19,0.58,1.05,213.12,0.99,0.18,0.05
914,8,35,853,15580,1.726,12,8,8,16,8,0,8,0,50,1.0,2.0,215.17,1.1,0.11,0.07
914,8,35,855,21216,1.962,24,0,0,8,12,0,0,0,79,1.0,0.85,254.25,1.08,0.15,0.06
914,8,35,862,14852,1.681,41,0,12,36,29,0,0,0,21,1.28,1.16,262.73,1.09,0.16,0.04
914,8,35,868,15444,1.576,23,0,0,4,8,0,0,0,86,1.56,1.09,261.04,1.07,0.14,0.06
914,8,35,866,15857,1.554,19,0,0,10,15,0,0,0,73,1.71,1.71,354.47,1.08,0.17,0.07
914,8,35,869,29151,1.927,36,0,0,11,47,0,0,0,41,1.0,1.4,292.28,1.11,0.15,0.04
914,8,35,873,27729,2.026,30,0,0,60,6,0,0,0,33,2.0,0.88,298.9,1.04,0.12,0.05
989,9,33,879,25536,1.965,12,0,8,16,0,0,0,0,75,1.4,1.4,333.25,1.07,0.09,0.06
989,9,33,875,28702,1.78,30,30,40,13,0,0,10,3,3,0.76,1.0,309.33,1.07,0.16,0.05
989,9,33,880,9675,1.72,20,25,75,0,0,0,0,0,0,1.5,1.22,458.05,1.16,0.14,0.06
989,9,33,884,7704,1.486,5,0,100,0,0,0,0,0,0,1.5,0.0,370.8,1.2,0.06,0.09
989,9,33,885,8664,1.5,30,0,43,53,0,0,0,3,0,1.31,1.0,352.23,1.1,0.19,0.06
989,9,33,887,24497,1.427,32,6,21,43,3,0,0,0,25,1.91,0.68,143.53,1.01,0.12,0.04
989,9,33,886,18816,2.042,32,3,18,46,3,0,0,3,25,1.0,1.67,216.56,1.07,0.19,0.05
989,9,33,889,38364,1.986,42,0,52,19,19,0,0,0,9,2.0,0.83,416.93,1.07,0.15,0.04
989,9,33,891,27456,1.576,46,0,80,15,4,0,0,0,0,1.0,1.42,502.7,1.06,0.22,0.05
989,9,33,895,10000,1.562,25,0,12,12,0,0,0,0,76,1.08,1.27,355.8,1.04,0.15,0.05
989,9,33,894,11076,2.197,34,0,20,23,11,0,0,0,44,0.62,1.83,509.03,1.07,0.17,0.05
